42,4f,d0,0,80,,  ,2b,7d,1a,f3,e0,37,73,fa,50,84
8d,5,d2,5f,80,,  ,60,c4,cc,70,d3,b3,c1,2,e2,74
ca,41,bb,c7,81,,  ,c7,6c,cf,ea,7a,f5,17,b8,0c,ea
0b,31,ba,3,80,,  ,b2,4e,46,18,e9,5f,64,e7,44,0e
6,0,0,0,80,,  ,bf,7e,2a,a8,57,b4,31,60,4b,4b
0c,0,0,0,80,,  ,91,74,cc,77,ea,af,32,56,b5,b2
f4,8d,f3,45,80,,  ,16,f2,2b,a1,f0,25,95,b2,85,43
cd,3c,8b,b4,80,,  ,91,55,1a,25,81,c5,ac,d7,ed,37
ec,8,5,0,80,,  ,3c,e1,18,fe,97,c2,86,69,70,c7
8e,7d,cc,4,80,,  ,f9,90,92,2b,93,32,58,96,26,b7
b8,ec,3,0,80,,  ,4f,7e,33,17,62,69,f7,63,e3,76
a7,73,1,d9,85,,  ,f1,e7,3a,23,ce,76,5a,0f,4c,d2
36,2f,2,0,80,,  ,8,eb,72,a7,41,1a,c8,b3,ab,ef
98,6f,0,0,80,,  ,76,34,7e,7a,e9,83,aa,df,b7,26
e1,8,17,0,80,,  ,39,86,16,80,2b,76,a1,80,d6,79
5c,0b,0,0,80,,  ,34,21,40,7d,3c,c0,65,9b,88,2d
8d,44,e9,0e,80,,  ,a0,64,79,3e,ce,83,1f,b6,df,af
5,f3,a2,60,b6,,  ,6b,8a,1,1e,5e,a0,78,23,6,75
36,4a,0,0,80,,  ,6c,dd,31,20,a9,65,ff,f2,46,99
a2,fd,0,0,80,,  ,ef,84,60,1d,8d,27,82,dd,db,f0
56,9,89,3,80,,  ,8c,9c,35,67,bd,50,ad,6,cf,58
fe,f3,7,ed,80,,  ,70,0e,ec,5d,de,ca,26,71,5f,b0
96,3,0,0,80,,  ,a7,63,e4,c4,a9,a1,69,34,96,ff
a2,4b,ac,77,81,,  ,a0,18,d2,46,16,b0,33,7f,1a,70
49,cb,2,0,80,,  ,28,4,86,6f,7,53,af,db,b4,9
86,79,4d,0,80,,  ,18,68,af,ec,54,38,3d,2f,c1,9b
13,ac,0e,1,80,,  ,61,a4,49,dd,e0,ce,f7,dd,67,68
ee,2d,0,0,80,,  ,74,55,e2,6b,b7,18,c3,56,75,d3
16,3a,b5,b5,a9,,  ,2b,6b,c1,79,c7,6b,6d,80,7f,0f
a6,3f,0,0,80,,  ,7a,2a,73,77,35,54,6c,1e,e2,59
58,0,0,0,80,,  ,aa,5e,43,0,57,eb,ef,41,29,b0
19,0,0,0,80,,  ,48,c7,27,58,63,da,38,f0,af,a7
52,ba,1c,31,80,,  ,71,12,cf,d9,6b,14,f7,88,a8,38
2,0,0,0,80,,  ,f8,57,11,8e,8d,ff,eb,bb,79,53
7,0,0,0,80,,  ,29,bc,ac,57,77,8a,5c,fb,0e,7e
e0,b6,6,0,80,,  ,5a,83,b3,97,b1,5a,3f,46,1f,7a
d5,d9,98,63,80,,  ,1,d2,7,bc,4a,5e,4d,2a,c5,63
68,a9,2b,1,80,,  ,4d,58,eb,b9,ce,58,d6,7c,ac,19
4,6b,4,0,80,,  ,19,dc,42,34,84,b2,4f,f1,a7,cb
7,0,0,0,80,,  ,29,bc,ac,57,77,8a,5c,fb,0e,7e
fc,36,b1,0,80,,  ,1c,9e,51,71,15,73,db,27,d9,8a
b2,0,0,0,80,,  ,a0,62,a9,e5,81,d0,a7,8a,9e,75
94,b6,c8,9c,8f,,  ,73,8d,4e,17,54,8b,4a,71,87,5d
50,a0,43,5,80,,  ,74,42,1c,36,d7,45,35,ca,3c,75
d4,8,0,0,80,,  ,20,25,ea,5c,c3,8d,9f,41,d7,2f
94,99,51,2,80,,  ,e8,c8,60,ed,16,1,a4,b5,6e,df
eb,2,0,0,80,,  ,16,9f,92,7a,dc,5a,ca,8b,1f,88
92,f7,b9,1,80,,  ,b9,5b,e0,1d,37,87,df,25,b2,f9
5f,0,0,0,80,,  ,95,60,0f,68,b7,69,47,66,33,3e
9,0,0,0,80,,  ,e9,46,b9,c7,50,8e,a7,1,e2,48
ff,e6,65,0,80,,  ,fa,91,69,a3,3,13,c5,0a,3,bb
0f,0,0,0,80,,  ,b5,62,d0,a0,40,cf,cc,df,71,59
48,c7,2,0,80,,  ,22,79,56,b6,fe,99,46,96,3b,0a
e1,bc,cb,0,80,,  ,f1,df,65,40,ff,76,ae,76,61,82
27,d4,0,0,80,,  ,2f,bb,e6,39,20,9d,2c,da,35,29
d8,2f,df,0,80,,  ,a1,66,8b,b5,6d,cb,9b,1e,25,75
f1,a6,3b,1,80,,  ,66,85,1b,6f,e3,e2,6c,eb,28,68
53,8b,73,af,aa,,  ,b2,a6,ba,c4,33,90,dd,74,42,5b
e0,67,a2,1b,81,,  ,44,8a,ee,cd,15,f5,a1,ba,18,41
3c,19,0,0,80,,  ,6,85,c7,87,d4,0d,d9,81,66,a6
26,15,a6,6,80,,  ,99,d2,f1,c8,48,fd,70,39,aa,7d
7f,6,76,75,81,,  ,a3,ca,a7,c0,28,64,3a,91,e8,ea
d1,33,0,0,80,,  ,48,a8,7f,73,8e,7e,34,c1,85,7a
a0,b3,39,0,80,,  ,3c,1,1f,8,9e,c1,5a,9b,bf,f4
50,82,3,0,80,,  ,f3,70,f3,b0,ff,0f,a0,c4,58,59
71,ce,4,0,80,,  ,5d,58,96,d3,a1,6d,20,0c,4a,63
c4,1d,22,1,80,,  ,c4,81,6f,3f,e0,87,54,de,6,3d
16,0,0,0,80,,  ,b3,ab,b7,55,7b,74,84,0e,a4,fb
5,1,0,0,80,,  ,b9,cb,74,6b,a4,be,83,aa,93,3a
8b,6a,c1,36,99,,  ,31,0e,d8,f8,ab,e5,94,d2,a1,de
35,94,18,0,80,,  ,aa,5,9f,fc,cf,98,d9,54,7e,9d
0f,8,0,0,80,,  ,a6,7b,a5,a7,d0,1b,f1,8e,b6,fc
af,7c,3,0,80,,  ,4b,35,1d,bf,ad,5c,e4,c4,35,ad
be,50,3f,78,81,,  ,1e,2f,41,ba,d3,25,e7,43,89,d3
3,0,0,0,80,,  ,6f,ab,aa,e6,a8,4d,b1,73,b2,bb
46,2c,0,0,80,,  ,48,48,64,86,b8,7b,34,47,0b,a6
12,0,0,0,80,,  ,f0,aa,39,6e,a4,aa,8c,bf,85,ce
6,0,0,0,80,,  ,bf,7e,2a,a8,57,b4,31,60,4b,4b
37,6b,3e,52,80,,  ,37,d1,8f,d1,e0,70,bc,41,68,aa
dc,14,0,0,80,,  ,99,c3,b7,99,a4,7e,0a,bd,3e,65
1d,5,0,0,80,,  ,e3,4f,aa,cb,3,f6,9b,0d,60,80
1c,70,f3,bd,80,,  ,77,c7,c8,25,b2,bc,f7,20,7d,d0
24,0,0,0,80,,  ,af,e3,4a,7d,85,20,f9,ae,9c,db
94,9d,9,0,80,,  ,df,f2,9c,59,fd,af,1b,a0,17,d3
b6,be,64,49,94,,  ,ad,d0,f2,0b,31,b2,8e,8b,ec,43
c9,0,0,0,80,,  ,78,db,16,61,92,7d,36,9,f9,25
5,1e,d9,0e,80,,  ,48,a3,92,4c,b8,bb,f4,d5,7e,19
3,0,0,0,80,,  ,6f,ab,aa,e6,a8,4d,b1,73,b2,bb
73,8,0,0,80,,  ,1a,d1,e2,48,e5,8b,f4,79,65,48
1c,95,19,a8,81,,  ,39,fb,af,d2,a4,75,b4,b4,1d,e5
d5,91,0a,0,80,,  ,58,51,ad,a3,d3,ed,6f,c9,2c,e5
1d,0,0,0,80,,  ,3,f2,0d,2c,3c,8f,a7,1d,c0,ed
d9,1,0,0,80,,  ,76,5a,86,48,27,4,d5,4e,b4,b6
87,db,fa,dc,84,,  ,fd,ad,cf,5e,91,0,ac,0b,55,46
d5,0c,0,0,80,,  ,f2,9a,4d,ba,22,58,98,91,6e,97
3b,23,be,4,80,,  ,dc,56,b1,7f,5b,d8,d5,ea,35,39
8,0,0,0,80,,  ,df,3,ae,5b,b4,cb,10,40,98,ba
a1,9,34,0,80,,  ,84,5f,54,0,78,6e,bc,2f,be,97
99,4e,0,0,80,,  ,e9,a1,61,8d,e2,98,be,81,2e,7e
15,0,0,0,80,,  ,1,bc,98,f4,7,66,86,e7,f7,5f
83,79,87,ea,86,,  ,b4,1a,f6,91,61,26,e1,7d,30,c7
9e,22,57,e2,8d,,  ,bd,72,8c,90,1b,94,2,db,a8,a8
70,1f,0,0,80,,  ,26,f3,18,e3,84,19,75,46,b6,77
f2,53,1d,1,80,,  ,ad,0c,bc,24,99,d1,14,38,2f,2a
7c,47,cd,0,80,,  ,b2,29,d2,de,82,61,e6,27,ac,cc
9b,3b,f8,3e,80,,  ,1e,e0,0d,83,d1,68,dd,58,4,cb
45,0e,0,0,80,,  ,2,a7,94,8c,fe,b9,c7,f1,cb,1f
0d,0,0,0,80,,  ,a6,5f,a7,bd,0b,70,f0,4,15,ea
de,0,0,0,80,,  ,9d,a1,cc,c1,c2,81,7a,ea,ed,ac
2f,cd,1,0,80,,  ,d0,44,15,f8,49,b8,1e,dc,a1,39
d1,e3,0b,0,80,,  ,7d,2c,5e,d0,66,ca,46,c2,e8,52
6,0,0,0,80,,  ,bf,7e,2a,a8,57,b4,31,60,4b,4b
56,ca,a8,5,80,,  ,0d,ea,30,12,cd,4b,7,b2,bf,24
86,6c,d0,1,80,,  ,51,95,20,e6,68,25,f6,38,ab,6c
1b,7b,be,2,80,,  ,e0,4e,35,db,7e,46,81,53,11,8d
16,8a,0b,f3,8e,,  ,5e,51,0d,b0,af,33,1,42,3d,59
8d,1,0,0,80,,  ,f1,71,6d,64,8,c6,88,b6,a8,8e
5c,0,0,0,80,,  ,a4,72,14,67,8,53,78,1e,ea,a5
e0,21,54,0,80,,  ,b1,9d,67,e4,c9,3e,5b,1c,58,57
d5,2f,0,0,80,,  ,6b,9e,7d,b7,79,c8,23,ae,12,cd
4f,87,6b,0,80,,  ,b4,d5,ac,a4,d9,e8,9f,7f,79,3b
52,5d,3a,0,80,,  ,a8,1,4a,5a,5b,53,dd,e8,63,93
3c,35,bb,0d,80,,  ,a3,fb,e8,f5,a1,92,13,95,42,c0
70,5,0,0,80,,  ,b2,54,bc,0b,41,8d,cf,27,5c,4c
f3,86,9,0,80,,  ,59,34,cc,dd,95,11,e9,c0,52,88
cb,25,0,0,80,,  ,25,58,ce,7a,66,7c,21,ea,2,ba
c3,5b,0,0,80,,  ,25,e7,cb,58,fc,5e,20,b8,3b,f7
1a,e7,1a,0,80,,  ,aa,0e,1c,b7,b2,fa,14,1c,f8,43
53,d8,b1,0c,80,,  ,60,e4,3d,7e,13,0c,c7,fa,d2,13
7d,4f,0,0,80,,  ,a3,19,7b,da,bc,bb,c1,f4,ba,25
2c,d8,9a,1,80,,  ,2b,92,f4,22,b5,7c,72,ba,0b,e3
cf,7f,0,0,80,,  ,f3,4,c4,3e,d6,d9,26,c8,a2,23
de,0e,9,0,80,,  ,56,75,64,24,42,9b,ea,a0,3a,89
ea,ab,39,35,80,,  ,ec,66,ef,b3,69,57,39,dd,48,d1
aa,9e,97,0,80,,  ,e5,9f,7a,ac,0d,93,67,db,14,5e
3a,63,4d,9f,8a,,  ,18,64,fd,50,3a,3f,15,72,e6,8c
4,0,0,0,80,,  ,9d,7a,19,bc,5d,c2,c2,a2,99,2b
f6,f3,e0,c0,80,,  ,4f,59,a8,93,59,cc,76,66,ae,85
55,1e,0,0,80,,  ,57,9e,39,94,25,3b,2d,a5,4d,96
b9,70,35,3,80,,  ,14,47,22,84,bc,a7,56,f4,73,f1
a0,11,0f,a9,80,,  ,8a,52,f2,fd,4a,d6,27,61,e2,76
65,17,0,0,80,,  ,d1,80,c0,0b,1b,3c,63,fa,fe,1a
7a,cf,4e,22,80,,  ,ff,c8,f5,6f,38,2f,85,a6,28,f4
d0,1,0,0,80,,  ,55,36,16,69,cb,9f,52,87,0d,24
a7,4a,57,3a,b8,,  ,ec,31,ce,e0,32,9b,ba,f3,d9,5c
19,64,7b,5,80,,  ,1,6d,25,a8,3b,ab,7f,63,f2,27
a3,ef,fd,0b,a8,,  ,4e,b3,a0,8d,fd,20,ec,6c,0e,56
68,0,0,0,80,,  ,39,4b,5d,10,a5,5a,a6,9c,12,56
15,bb,0c,2,80,,  ,36,0a,51,e6,72,d4,9f,f4,d8,23
fa,ee,0b,0,80,,  ,11,8b,88,5b,80,c2,8c,2b,b2,1f
85,4b,6d,7,80,,  ,5e,9a,de,aa,6,b4,e8,50,5f,89
7,0,0,0,80,,  ,29,bc,ac,57,77,8a,5c,fb,0e,7e
16,8,0,0,80,,  ,b3,e2,42,30,fa,57,5,b7,56,f5
0c,0,0,0,80,,  ,91,74,cc,77,ea,af,32,56,b5,b2
5b,94,1,0,80,,  ,4a,a7,0d,c9,b2,10,df,84,bc,70
d9,ea,a3,4,80,,  ,91,32,c2,57,2e,e3,2,67,1f,77
d6,91,54,5b,84,,  ,71,e3,95,d3,b1,78,f8,db,fc,7f
d3,6,0,0,80,,  ,61,66,14,b9,6c,bb,c1,59,4a,1b
2,5,0,0,80,,  ,9c,f4,22,e8,f7,9b,28,37,23,51
46,af,0,0,80,,  ,b0,67,bc,2f,7b,8f,1b,a2,2e,e0
9d,81,b5,f5,80,,  ,a1,e2,d9,1,4c,7b,ef,5e,9d,79
48,e3,0,0,80,,  ,6b,b7,22,89,2,dd,46,b9,7,fb
81,1,71,43,84,,  ,79,5e,fe,9b,2,ea,90,e1,7e,e1
74,17,0,0,80,,  ,e3,3,ae,c4,74,0c,f1,ae,a4,bd
a6,2f,0,0,80,,  ,a0,8a,4b,37,77,3d,44,9b,ad,dc
cc,57,73,3,80,,  ,fa,a0,d5,1,2b,a3,d4,23,73,31
6e,0,0,0,80,,  ,5b,2e,e5,c9,d3,98,49,ba,69,b9
62,0,0,0,80,,  ,86,b5,a8,74,be,1a,da,1c,e2,36
b8,d7,5,0,80,,  ,de,0b,3b,6b,9b,b7,d6,dd,a1,f8
0a,f6,0,0,80,,  ,15,62,21,91,5c,65,b3,5c,2c,aa
fd,6,0,0,80,,  ,df,98,5b,45,93,19,71,ce,81,43
47,2c,5a,1,80,,  ,39,f0,f6,8c,79,81,3,2c,14,8c
1f,7e,0,0,80,,  ,28,95,4d,77,2a,b1,aa,45,4e,7c
ae,e5,10,0,80,,  ,81,4b,b2,c3,eb,68,1,eb,0b,af
30,0,0,0,80,,  ,b1,36,61,e0,ea,c2,f5,82,38,0c
bc,ec,74,67,80,,  ,5,5a,c0,81,c1,d1,53,b2,bf,0f
d9,e5,36,4,85,,  ,fc,2f,28,8a,d3,d8,56,59,54,1c
3a,2,0,0,80,,  ,7b,b2,6b,ad,cf,e1,e7,9b,84,ac
a8,ac,10,2,80,,  ,44,e1,f5,cd,18,b3,1b,1f,b2,22
ce,e4,cf,a8,80,,  ,aa,b4,e1,98,4a,33,30,c7,52,cf
19,61,0,0,80,,  ,e3,96,a8,e5,3e,e6,5c,53,a5,0f
89,0f,0,0,80,,  ,83,13,d0,57,9a,8e,d9,2a,1d,b9
fb,1,0,0,80,,  ,2e,5e,c9,d1,69,e8,c2,20,3c,e0
e8,71,0c,0,80,,  ,1e,63,95,4e,96,eb,6f,70,c6,36
d9,20,0,0,80,,  ,1,ff,85,3b,80,fa,df,cf,f8,bc
1a,7a,7,0,80,,  ,f0,35,7a,f6,cc,97,a1,31,80,28
84,c0,76,6f,80,,  ,2b,e8,51,eb,d7,8,7f,16,82,4e
93,a1,34,44,84,,  ,9,b2,34,5e,e2,6e,a6,40,0d,0d
8f,80,2a,4,80,,  ,88,37,81,bb,ac,17,5a,7b,a1,58
56,2e,3a,0,80,,  ,17,46,cc,2a,50,9a,45,15,15,0c
e9,f7,5b,0,80,,  ,f9,cf,62,4a,9e,21,91,43,9b,8d
da,ee,82,0f,81,,  ,be,c2,48,6e,fa,8f,44,e7,2f,21
d3,ff,e1,0,80,,  ,69,82,71,35,1f,52,d0,fe,cb,b2
91,1,61,c6,b3,,  ,5b,8e,0a,4a,f8,32,60,c5,e1,af
8d,ac,14,0,80,,  ,cb,6e,54,61,d5,39,e9,1f,5c,c3
ad,7a,7,0,80,,  ,41,18,f7,fe,2b,8c,6,2c,89,3f
18,cf,0,0,80,,  ,b6,99,f2,2e,66,5a,0e,92,6f,fb
d3,47,78,0,80,,  ,f8,4b,8e,6c,d2,a8,ff,dd,59,bc
1a,28,25,0,80,,  ,8c,7c,71,ce,22,c3,35,36,bf,ce
26,5a,90,2a,80,,  ,5e,8e,c3,9b,2,e2,c1,9e,f2,ae
df,d9,0f,11,80,,  ,25,66,cc,65,2e,ec,27,e3,4b,84
ae,0d,d4,32,83,,  ,38,3c,2d,68,e7,fb,90,14,98,ce
3c,19,27,0,80,,  ,83,f0,58,7e,5,53,8e,e9,8f,d6
5,0,0,0,80,,  ,38,8d,a1,61,3e,42,e1,b1,b8,8f
bc,42,2,0,80,,  ,85,37,aa,9f,de,c3,0f,56,e1,80
a7,5,0,0,80,,  ,ea,f5,ee,24,3a,79,75,a1,c4,27
25,2,0,0,80,,  ,83,cb,35,3e,53,5b,e6,16,11,66
81,92,0,0,80,,  ,1a,85,65,91,7c,30,a3,4a,19,9
97,11,9d,0a,80,,  ,8a,a3,6f,8e,f6,83,41,49,c0,5e
4,1d,3c,0,80,,  ,65,bd,88,7c,d5,e5,34,c6,0f,f8
b3,8c,28,b5,80,,  ,df,76,b9,b7,b4,6c,94,95,3c,38
ba,21,19,0,80,,  ,f4,ae,31,9e,47,a9,b1,e8,bf,66
c4,8a,2,0,80,,  ,81,57,62,b2,a1,51,58,8e,a2,64
8,0,0,0,80,,  ,df,3,ae,5b,b4,cb,10,40,98,ba
7c,29,35,17,81,,  ,85,3b,51,18,3f,7f,1b,60,5,56
eb,1,0,0,80,,  ,87,5f,57,44,43,47,f4,18,b7,5
aa,2f,0,0,80,,  ,a6,c0,65,a6,f5,8a,1e,51,25,14
38,5,0,0,80,,  ,a2,a7,a1,88,70,57,f9,ec,a0,2e
0f,1,0,0,80,,  ,9c,e5,1a,8e,6e,45,df,c2,34,ab
cf,65,32,0,80,,  ,fa,b4,a4,d8,37,9,31,e3,58,bd
6,0,0,0,80,,  ,bf,7e,2a,a8,57,b4,31,60,4b,4b
8d,bb,b4,29,86,,  ,b2,d9,8f,3e,34,42,81,4c,4d,a3
6d,b1,1a,0,80,,  ,3,6e,23,18,96,1c,e6,17,5f,4
3c,5,0,0,80,,  ,bc,5e,58,fd,a4,0c,f6,c1,5,1e
53,e9,1c,0,80,,  ,84,e1,53,c0,c4,ab,66,6d,83,80
9,0,0,0,80,,  ,e9,46,b9,c7,50,8e,a7,1,e2,48
1,c2,0f,0,80,,  ,64,6b,dc,fb,48,2f,fc,f0,cf,8c
a6,0,0,0,80,,  ,fc,34,b2,a2,3c,39,99,f2,6a,2b
4d,0,0,0,80,,  ,26,ff,17,ef,ca,6,76,2c,a8,d0
9e,26,5,0,80,,  ,62,52,1a,53,c7,db,b5,63,fd,8c
